"","year","UKPRN","Institution","cah","Subject","Level","QuestionNumber","A1","A2","A3","A4","A5","N/A","Confidence interval - min","Actual value","Confidence interval - max","Response","Sample Size","Positivity measure (%)","Benchmark (%)","Difference (ppt)","Standard deviation","Contribution to benchmark (%)","Materially below benchmark (%)","Broadly in line with benchmark (%)","Materially above benchmark (%)","Publication response headcount","Publication response rate (%)","theme","q","question","ans_sd","ans_d","ans_n","ans_a","ans_sa","r","tm","ucl","ucl_all","rzall","ucl_comp"
"1",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q01","0%","1%","4%","62%","32%",0,"87%","95%","98%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","explain","Staff are good at explaining things.",0,1,4,62,32,0.625,TRUE,FALSE,"All other",0.471063196516669,TRUE
"2",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q02","1%","4%","6%","60%","29%",0,"80%","89%","94%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","interest","Staff have made the subject interesting.",1,4,6,60,29,0.56,TRUE,FALSE,"All other",0.310401569734673,TRUE
"3",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q03","0%","3%","12%","44%","40%",0,"75%","85%","91%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","enthusiastic","Staff are enthusiastic about what they are teaching.",0,3,12,44,40,0.605,TRUE,FALSE,"All other",-0.336592099346744,TRUE
"4",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q04","0%","2%","7%","43%","48%",0,"82%","91%","95%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"teaching","stimulating","The course is intellectually stimulating.",0,2,7,43,48,0.685,TRUE,FALSE,"All other",0.575182526530239,TRUE
"5",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q05","2%","4%","17%","46%","30%",0,"66%","76%","84%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","clear","The criteria used in marking have been clear in advance.",2,4,17,46,30,0.49,TRUE,FALSE,"All other",0.193978513306324,TRUE
"6",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q06","4%","6%","13%","51%","25%",0,"66%","77%","84%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","fair","Assessment arrangements and marking have been fair.",4,6,13,51,25,0.435,TRUE,FALSE,"All other",-0.0261174456314632,TRUE
"7",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q07","0%","4%","5%","39%","52%",0,"82%","90%","95%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","timely","Feedback on my work has been prompt.",0,4,5,39,52,0.695,TRUE,FALSE,"All other",1.79144613041448,TRUE
"8",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q08","4%","7%","21%","35%","33%",0,"57%","67%","77%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","detailed","I have received detailed comments on my work.",4,7,21,35,33,0.43,TRUE,FALSE,"All other",0.507580205443348,TRUE
"9",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q09","6%","14%","27%","39%","14%",0,"42%","53%","63%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"assessment","helpful","Feedback on my work has helped me clarify things I did not understand.",6,14,27,39,14,0.205,TRUE,FALSE,"All other",-0.498295259628495,TRUE
"10",2014,10005553,"Royal Holloway, University of London ","","(07) Psychology","First degree","Q10","2%","7%","7%","53%","31%",0,"74%","84%","90%",108,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"academic","support","I have received sufficient advice and support with my studies.",2,7,7,53,31,0.52,TRUE,FALSE,"All other",0.388772548588292,TRUE
