"","x"
"1","The teaching on my course"
"2","1. Staff are good at explaining things."
"3","2. Staff have made the subject interesting."
"4","3. The course is intellectually stimulating."
"5","4. My course has challenged me to achieve my best work."
"6","5. My course has provided me with opportunities to explore ideas or concepts in depth."
"7","6. My course has provided me with opportunities to bring information and ideas together from different topics."
"8","7. My course has provided me with opportunities to apply what I have learnt."
"9","8. The criteria used in marking have been clear in advance."
"10","9. Marking and assessment has been fair."
"11","10. Feedback on my work has been timely.
"
"12","11. I have received helpful comments on my work."
"13","12. I have been able to contact staff when I needed to."
"14","13. I have received sufficient advice and guidance in relation to my course."
"15","14. Good advice was available when I needed to make study choices on my course."
"16","15. The course is well organised and running smoothly."
"17","16. The timetable works efficiently for me."
"18","17. Any changes in the course or teaching have been communicated effectively."
"19","18. The IT resources and facilities provided have supported my learning well."
"20","19. The library resources (e.g. books, online services and learning spaces) have supported my learning well."
"21","20. I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to."
"22","21. I feel part of a community of staff and students."
"23","22. I have had the right opportunities to work with other students as part of my course."
"24","23. I have had the right opportunities to provide feedback on my course."
"25","24. Staff value students’ views and opinions about the course."
"26","25. It is clear how students’ feedback on the course has been acted on."
"27","Academic support"
"28","Assessment and feedback"
"29","Learning community"
"30","Learning opportunities"
"31","Learning resources"
"32","Organisation and management"
"33","Overall satisfaction"
"34","Student Voice"
"35","The students’ union (association or guild) effectively represents students’ academic interests."
