instit,uni,set
University.of.York..10007167.,york,rg
Cardiff.University..10007814.,cardiff,rg
University.of.Durham..10007143.,durham,rg
The.University.of.Warwick..10007163.,warwick,rg
University.of.Nottingham..The..10007154.,nottingham,rg
University.of.Newcastle.upon.Tyne..10007799.,newcastle,rg
Queen.s.University.of.Belfast..10005343.,belfast,rg
The.University.of.Leeds..10007795.,leeds,rg
The.University.of.Birmingham..10006840.,birmingham,rg
University.of.Exeter..10007792.,exeter,rg
University.of.Southampton..10007158.,southampton,rg
University.College.London..10007784.,ucl,rg
University.of.Glasgow..10007794.,glasgow,rg
University.of.Oxford..10007774.,oxford,rg
University.of.Cambridge..10007788.,cambridge,rg
University.of.Edinburgh..10007790.,edinburgh,rg
Imperial.College.of.Science..Technology.and.Medicine..10003270.,imperial,rg
King.s.College.London..10003645.,kings,rg
Queen.Mary.University.of.London..10007775.,qmu,rg
The.London.School.of.Economics.and.Political.Science..10004063.,lse,rg
The.University.of.Liverpool..10006842.,liverpool,rg
The.University.of.Manchester..10007798.,manchester,rg
The.University.of.Sheffield..10007157.,sheffield,rg
University.of.Bristol..10007786.,birstol,rg
BSc.Psychology,UCL_Psyc,ucl
BSc.Psychology.and.Language.Sciences,UCL_PALS,ucl
MSci.Psychology,UCL_Msi,ucl
UCLpsych,UCL_allPsych,rg
