"","year","uni","set","theme","item","question","pos","rate"
"1","2017","york","rg","acad_support","theme_sum","Academic support",87.4,1.87748344370861
"2","2017","york","rg","management","comms","Any changes in the course or teaching have been communicated effectively",91.6,0.625827814569536
"3","2017","york","rg","assess_feed","theme_sum","Assessment and feedback",73.5,1.68543046357616
"4","2017","york","rg","assessment","timely","Feedback on my work has been timely",84.1,0.605960264900662
"5","2017","york","rg","academic","choices","Good advice was available when I needed to make study choices on my course",82.8,0.556291390728477
"6","2017","york","rg","community","staffstudent","I feel part of a community of staff and students",70.9,0.447019867549669
"7","2017","york","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",96,0.731788079470199
"8","2017","york","rg","academic","contact","I have been able to contact staff when I needed to",95.4,0.764900662251656
"9","2017","york","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",88,0.639072847682119
"10","2017","york","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",98,0.814569536423841
"11","2017","york","rg","academic","support","I have received helpful comments on my work",68.2,0.337748344370861
"12","2017","york","rg","assessment","helpful","I have received helpful comments on my work",55.8,0.251655629139073
"13","2017","york","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",84,0.556291390728477
"14","2017","york","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",60.9,0.288079470198675
"15","2017","york","rg","community","theme_sum","Learning community",84.4,1.26158940397351
"16","2017","york","rg","learnopp","theme_sum","Learning opportunities",85.1,1.78476821192053
"17","2017","york","rg","resource","theme_sum","Learning resources",94,2.18211920529801
"18","2017","york","rg","assessment","fair","Marking and assessment has been fair",64.9,0.294701986754967
"19","2017","york","rg","teaching","challenge","My course has challenged me to achieve my best work",78.2,0.54635761589404
"20","2017","york","rg","learnopp","apply","My course has provided me with opportunities to apply what I have learnt",77.3,0.509933774834437
"21","2017","york","rg","learnopp","diff_topics","My course has provided me with opportunities to bring information and ideas together from different topics",86.1,0.615894039735099
"22","2017","york","rg","learnopp","depth","My course has provided me with opportunities to explore ideas or concepts in depth",92.1,0.658940397350993
"23","2017","york","rg","management","theme_sum","Organisation and management",91.6,2.07284768211921
"24","2017","york","rg","overall","satisfied","Overall satisfaction",90.1,0.688741721854305
"25","2017","york","rg","teaching","explain","Staff are good at explaining things",96.7,0.629139072847682
"26","2017","york","rg","teaching","interest","Staff have made the subject interesting",92.7,0.639072847682119
"27","2017","york","rg","voice","valued","Staff value students’ views and opinions about the course",80.1,0.533112582781457
"28","2017","york","rg","voice","theme_sum","Student Voice",76.4,1.46026490066225
"29","2017","york","rg","teaching","stimulating","The course is intellectually stimulating",92.7,0.731788079470199
"30","2017","york","rg","management","organised","The course is well organised and running smoothly",91.4,0.708609271523179
"31","2017","york","rg","assessment","clear","The criteria used in marking have been clear in advance",76.8,0.447019867549669
"32","2017","york","rg","resource","IT","The IT resources and facilities provided have supported my learning well",94.7,0.745033112582781
"33","2017","york","rg","resource","library","The library resources (e.g. books, online services and learning spaces) have supported my learning well",91.3,0.705298013245033
"34","2017","york","rg","teaching","theme_sum","The teaching on my course",90.1,2.54635761589404
"35","2017","york","rg","management","timetable","The timetable works efficiently for me",92.1,0.73841059602649
"36","2017","cardiff","rg","acad_support","theme_sum","Academic support",81.5,1.65942028985507
"37","2017","cardiff","rg","management","comms","Any changes in the course or teaching have been communicated effectively",89,0.648550724637681
"38","2017","cardiff","rg","assess_feed","theme_sum","Assessment and feedback",79.7,1.98188405797101
"39","2017","cardiff","rg","assessment","timely","Feedback on my work has been timely",89.9,0.692028985507246
"40","2017","cardiff","rg","academic","choices","Good advice was available when I needed to make study choices on my course",71.4,0.452898550724638
"41","2017","cardiff","rg","community","staffstudent","I feel part of a community of staff and students",67.9,0.329710144927536
"42","2017","cardiff","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",91.3,0.695652173913043
"43","2017","cardiff","rg","academic","contact","I have been able to contact staff when I needed to",92,0.710144927536232
"44","2017","cardiff","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",86.1,0.623188405797101
"45","2017","cardiff","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",83.3,0.601449275362319
"46","2017","cardiff","rg","academic","support","I have received helpful comments on my work",77.4,0.434782608695652
"47","2017","cardiff","rg","assessment","helpful","I have received helpful comments on my work",75.2,0.52536231884058
"48","2017","cardiff","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",80.4,0.496376811594203
"49","2017","cardiff","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",57.5,0.253623188405797
"50","2017","cardiff","rg","community","theme_sum","Learning community",75.4,0.931159420289855
"51","2017","cardiff","rg","learnopp","theme_sum","Learning opportunities",83.8,1.76086956521739
"52","2017","cardiff","rg","resource","theme_sum","Learning resources",91.1,2.09420289855072
"53","2017","cardiff","rg","assessment","fair","Marking and assessment has been fair",71.7,0.369565217391304
"54","2017","cardiff","rg","teaching","challenge","My course has challenged me to achieve my best work",83.3,0.543478260869565
"55","2017","cardiff","rg","learnopp","apply","My course has provided me with opportunities to apply what I have learnt",74.6,0.481884057971014
"56","2017","cardiff","rg","learnopp","diff_topics","My course has provided me with opportunities to bring information and ideas together from different topics",91.3,0.699275362318841
"57","2017","cardiff","rg","learnopp","depth","My course has provided me with opportunities to explore ideas or concepts in depth",85.5,0.579710144927536
"58","2017","cardiff","rg","management","theme_sum","Organisation and management",91.3,2.01811594202899
"59","2017","cardiff","rg","overall","satisfied","Overall satisfaction",91.9,0.673913043478261
"60","2017","cardiff","rg","teaching","explain","Staff are good at explaining things",93.5,0.561594202898551
"61","2017","cardiff","rg","teaching","interest","Staff have made the subject interesting",84.8,0.521739130434783
"62","2017","cardiff","rg","voice","valued","Staff value students’ views and opinions about the course",74.5,0.445652173913043
"63","2017","cardiff","rg","voice","theme_sum","Student Voice",72.9,1.32246376811594
"64","2017","cardiff","rg","teaching","stimulating","The course is intellectually stimulating",91.3,0.721014492753623
"65","2017","cardiff","rg","management","organised","The course is well organised and running smoothly",91.3,0.648550724637681
"66","2017","cardiff","rg","assessment","clear","The criteria used in marking have been clear in advance",79.7,0.485507246376812
"67","2017","cardiff","rg","resource","IT","The IT resources and facilities provided have supported my learning well",89.8,0.695652173913043
"68","2017","cardiff","rg","resource","library","The library resources (e.g. books, online services and learning spaces) have supported my learning well",92,0.702898550724638
"69","2017","cardiff","rg","teaching","theme_sum","The teaching on my course",88.2,2.34782608695652
"70","2017","cardiff","rg","management","timetable","The timetable works efficiently for me",93.5,0.721014492753623
"71","2017","durham","rg","acad_support","theme_sum","Academic support",82.9,1.09655172413793
"72","2017","durham","rg","management","comms","Any changes in the course or teaching have been communicated effectively",89.7,0.417241379310345
"73","2017","durham","rg","assess_feed","theme_sum","Assessment and feedback",80.6,1.4
"74","2017","durham","rg","assessment","timely","Feedback on my work has been timely",92.1,0.462068965517241
"75","2017","durham","rg","academic","choices","Good advice was available when I needed to make study choices on my course",77.7,0.320689655172414
"76","2017","durham","rg","community","staffstudent","I feel part of a community of staff and students",73.5,0.289655172413793
"77","2017","durham","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",95.8,0.475862068965517
"78","2017","durham","rg","academic","contact","I have been able to contact staff when I needed to",95.8,0.468965517241379
"79","2017","durham","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",93.5,0.475862068965517
"80","2017","durham","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",85.1,0.375862068965517
"81","2017","durham","rg","academic","support","I have received helpful comments on my work",79.8,0.327586206896552
"82","2017","durham","rg","assessment","helpful","I have received helpful comments on my work",33,0
"83","2017","durham","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",75.1,0.310344827586207
"84","2017","durham","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",55.5,0.162068965517241
"85","2017","durham","rg","community","theme_sum","Learning community",79.3,0.662068965517241
"86","2017","durham","rg","learnopp","theme_sum","Learning opportunities",84.3,1.13448275862069
"87","2017","durham","rg","resource","theme_sum","Learning resources",93.6,1.38275862068966
"88","2017","durham","rg","assessment","fair","Marking and assessment has been fair",81.2,0.341379310344828
"89","2017","durham","rg","teaching","challenge","My course has challenged me to achieve my best work",78.9,0.362068965517241
"90","2017","durham","rg","learnopp","apply","My course has provided me with opportunities to apply what I have learnt",73.1,0.26551724137931
